time_ps,msd_total_A2,msd_total_std_A2,msd_x_A2,msd_y_A2,msd_z_A2
1.540000000000000000e+02,7.673192337094562845e+02,4.901347957466451817e+02,2.374092448991352171e+02,2.481992009561223256e+02,2.817107878541988839e+02
1.550000000000000000e+02,7.721814499344234264e+02,4.935446816118948732e+02,2.388316953294051075e+02,2.498088331993144493e+02,2.835409214057037843e+02
1.560000000000000000e+02,7.770246734436786937e+02,4.969486529117399414e+02,2.402512352476014712e+02,2.514314722190603391e+02,2.853419659770168550e+02
1.570000000000000000e+02,7.818154159218227051e+02,5.003362128089426051e+02,2.416621864030306881e+02,2.530180161919639943e+02,2.871352133268280227e+02
1.580000000000000000e+02,7.865880797263737350e+02,5.036826248378209812e+02,2.430735473922528911e+02,2.545572047727694098e+02,2.889573275613514625e+02
1.590000000000000000e+02,7.913367618534714438e+02,5.070249875458570727e+02,2.444906077251260399e+02,2.560679136260246196e+02,2.907782405023209549e+02
1.600000000000000000e+02,7.960877008494883285e+02,5.103566132581864849e+02,2.459078446244718066e+02,2.575773584333280724e+02,2.926024977916883358e+02
1.610000000000000000e+02,8.008724886534573670e+02,5.136925205175696192e+02,2.473242723109528924e+02,2.591099863829316519e+02,2.944382299595728227e+02
1.620000000000000000e+02,8.057205888960870652e+02,5.170539980806034919e+02,2.487622727145723331e+02,2.606693681007457144e+02,2.962889480807688187e+02
1.630000000000000000e+02,8.105854309025154407e+02,5.204233620576814019e+02,2.502266144028336328e+02,2.622257284909652526e+02,2.981330880087164701e+02
1.640000000000000000e+02,8.154215094699453630e+02,5.237661927873446075e+02,2.516882815483874651e+02,2.637634899738005743e+02,2.999697379477573236e+02
1.650000000000000000e+02,8.202120646089358615e+02,5.271190795134867813e+02,2.531406228116957209e+02,2.652955566919007993e+02,3.017758851053393414e+02
1.660000000000000000e+02,8.249664944246080722e+02,5.304855599613144932e+02,2.545693911044218964e+02,2.668329900118522460e+02,3.035641133083339014e+02
1.670000000000000000e+02,8.296802610916445246e+02,5.338406770610372405e+02,2.559814129166242367e+02,2.683487916001060967e+02,3.053500565749142197e+02
1.680000000000000000e+02,8.343545362163597474e+02,5.371789620630652280e+02,2.573732726771128227e+02,2.698442048505178263e+02,3.071370586887289278e+02
1.690000000000000000e+02,8.390258929579910046e+02,5.404925061975976632e+02,2.587687138250031467e+02,2.713266694109212267e+02,3.089305097220667449e+02
1.700000000000000000e+02,8.436826936049241112e+02,5.437736546112665792e+02,2.601614110259749850e+02,2.728012847559008378e+02,3.107199978230481179e+02
1.710000000000000000e+02,8.483197693478572319e+02,5.470334421354699543e+02,2.615524248026749774e+02,2.742767818911636937e+02,3.124905626540185040e+02
1.720000000000000000e+02,8.529154807860711571e+02,5.502584813447482475e+02,2.629402566327531758e+02,2.757264458208181850e+02,3.142487783324999668e+02
1.730000000000000000e+02,8.574864142367989643e+02,5.534538073449597277e+02,2.642975651634490646e+02,2.771749268933452868e+02,3.160139221800046698e+02
1.740000000000000000e+02,8.620520766497862724e+02,5.566304062517140210e+02,2.656463809894973451e+02,2.786118420158421713e+02,3.177938536444466990e+02
1.750000000000000000e+02,8.666409931784046421e+02,5.598207759928150153e+02,2.669980375072490233e+02,2.800693770425899629e+02,3.195735786285654854e+02
1.760000000000000000e+02,8.712295063893316183e+02,5.630441698925628771e+02,2.683579866888089214e+02,2.815235115221902333e+02,3.213480081783325772e+02
1.770000000000000000e+02,8.757759990852771352e+02,5.662402458693667313e+02,2.697199150237776735e+02,2.829504591795165425e+02,3.231056248819828056e+02
1.780000000000000000e+02,8.802925058473834952e+02,5.694143896136430385e+02,2.710866046193578995e+02,2.843598595147384458e+02,3.248460417132870930e+02
1.790000000000000000e+02,8.847886034381521085e+02,5.725798045195963368e+02,2.724641011078254564e+02,2.857704573346284178e+02,3.265540449956984617e+02
1.800000000000000000e+02,8.892745219805050283e+02,5.757246145411565976e+02,2.738452741121528788e+02,2.871935643992654263e+02,3.282356834690868368e+02
1.810000000000000000e+02,8.937587228371896799e+02,5.788324539685050922e+02,2.752450629291425912e+02,2.886211588465097861e+02,3.298925010615374163e+02
1.820000000000000000e+02,8.982106692316407361e+02,5.819033980751651143e+02,2.766375931930531920e+02,2.900494219256366364e+02,3.315236541129507941e+02
1.830000000000000000e+02,9.026650843599476275e+02,5.849883233583672109e+02,2.780269327786201075e+02,2.914860578851543664e+02,3.331520936961731536e+02
1.840000000000000000e+02,9.071409973120756831e+02,5.880915417716473712e+02,2.794247644081311819e+02,2.929339931045456069e+02,3.347822397993991217e+02
1.850000000000000000e+02,9.115717285708940381e+02,5.911755081216019789e+02,2.808047211748638006e+02,2.943687307905774446e+02,3.363982766054527929e+02
1.860000000000000000e+02,9.159566863014376850e+02,5.942016523599990023e+02,2.821764353938289673e+02,2.957981845981571496e+02,3.379820663094516249e+02
1.870000000000000000e+02,9.203052524812777619e+02,5.971822524167801021e+02,2.835448401965704193e+02,2.972291607282784867e+02,3.395312515564289697e+02
1.880000000000000000e+02,9.246335713849277909e+02,6.001328055913669459e+02,2.849092459394561274e+02,2.986529826488405206e+02,3.410713427966311428e+02
1.890000000000000000e+02,9.289858501868368421e+02,6.030990258576987344e+02,2.862652012236082442e+02,3.000891409192175843e+02,3.426315080440109568e+02
1.900000000000000000e+02,9.333573195642709379e+02,6.060905680663115618e+02,2.876273600983954566e+02,3.015015530875717786e+02,3.442284063783035890e+02
1.910000000000000000e+02,9.377729149260983377e+02,6.091295073198679120e+02,2.889980445072453676e+02,3.029144550595406713e+02,3.458604153593124693e+02
